IDs;Location;Basin;Latitude;Longitude;Other name
ALB;Albany;Willamette;44.6333;-123.1000;WILAL
BRI;Brilliant;Kootenay;49.3244444444;-117.6202777778;BRILL
COR;Corra Linn;Kootenay;49.4669444444;-117.4669444444;CORRA
DCD;Duncan;Kootenay;50.2666666667;-116.9463888889;DUNCA
LIB;Libby;Kootenay;48.4117;-115.3094;LIBBY
BFE;Bonners Ferry;Libby;48.6980555556;-116.3125;BONFE
BON;Bonneville;Lower Columbia;45.6333333333;-121.9544444444;BONNE
HOD;Hood River;Lower Columbia;45.6555555556;-121.5472222222;HOODR
JDA;John Day;Lower Columbia;45.7147222222;-120.6936111111;JDAYY
KLC;Klickitat;Lower Columbia;45.7566666667;-121.2088888889;KLIPI
MCN;McNary;Lower Columbia;45.9347;-119.2958;MCNAR
PEL;Pelton;Lower Columbia;44.7289;-121.2572;PELTO
ROU;Round Butte;Lower Columbia;44.6039;-121.2778;RNDBB
TDA;The Dalles;Lower Columbia;45.6075;-121.1722;DALLE
WHS;White Salmon;Lower Columbia;45.7522;-121.5258;WHSAL
WHT;White River - Wapinitia;Lower Columbia;45.2416666667;-121.0938888889;WHITE
WWA;Walla Walla;Lower Columbia;46.0278;-118.7286;WALST
ANA;Anatone;Lower Snake;46.0972;-116.9767;ANATO
BRN;Brownlee;Lower Snake;44.8363888889;-116.8994444444;BROWN
DWR;Dworshak;Lower Snake;46.5152777778;-116.2961111111;DWORS
GAL;Galloway;Lower Snake;44.255;-116.773;
HCD;Hells Canyon;Lower Snake;45.2513888889;-116.6972222222;HCANY
IHR;Ice Harbor;Lower Snake;46.2505555556;-118.8819444444;ICEHA
LGS;Little Goose;Lower Snake;46.5872;-118.0258;LGOOS
LIM;Lime Point;Lower Snake;46.0031;-116.9169;
LMN;Lower Monumental;Lower Snake;46.5502;-118.5335;LMONU
LWG;Lower Granite;Lower Snake;46.6678;-117.4439;LGRAN
ORO;Orofino;Lower Snake;46.4783;-116.2575;CLEAR
OXB;Oxbow;Lower Snake;44.9728;-116.8333;OXBOW
PLS;Palouse-Lower Snake;Lower Snake;46.91527;-116.95;PALHO
SPD;Spalding;Lower Snake;46.4486;-116.8264;SPALD
TRY;Troy;Lower Snake;45.9458;-117.4500;GROND
WEN;Grande Ronde;Lower Snake;45.3463888889;-118.1238888889;GRAWA
WHB;White Bird;Lower Snake;45.7503;-116.3239;SALMO
CHJ;Chief Joseph;Mid-Columbia;47.9944444444;-119.6347222222;CHIEF
CHL;Chelan;Mid-Columbia;47.8347222222;-120.0119444444;CHELA
GCL;Grand Coulee;Mid-Columbia;47.9655555556;-118.9816666667;GCOUL
KET;Kettle;Mid-Columbia;48.9844444444;-118.2152777778;KETTL
OKA;Okanagon in Canada;Mid-Columbia;49.1147222222;-119.5638888889;OKAOL
PRD;Priest Rapids;Mid-Columbia;46.6289;-119.8636;PRIRA
RIS;Rock Island;Mid-Columbia;47.3325;-120.0800;RISLA
RRH;Rocky Reach;Mid-Columbia;47.5244;-120.3011;ROCKY
WAN;Wanapum;Mid-Columbia;46.8881;-119.9836;WANAP
WEL;Wells;Mid-Columbia;47.9467;-119.8656;WELLS
YAK;Yakima;Mid-Columbia;46.2536;-119.4769;YAKKI
ALF;Albeni Falls;Pend Oreille;48.1822;-117.0333;ALBEN
BDY;Boundary;Pend Oreille;48.9872222222;-117.3475;BOUND
BOX;Box;Pend Oreille;48.7811111111;-117.4152777778;BOXCA
CAB;Cabinet;Pend Oreille;48.0880555556;-116.0727777778;CABIN
CFM;Columbia Falls;Pend Oreille;48.3619444444;-114.1838888889;COLFA
HGH;Hungry Horse;Pend Oreille;48.3416666667;-114.0083333333;FLASF
KER;Kerr;Pend Oreille;47.6803;-114.2458;FLAPO
LCF;Lower Clark Fork;Pend Oreille;47.3019444444;-115.0863888889;CLARE
NOX;Noxon Rapids;Pend Oreille;47.9611;-115.7328;NOXON
PSL;Priest Lake;Pend Oreille;48.4903;-116.9042;PRSTL
SUV;Sullivan Lake;Pend Oreille;48.8450;-117.2867;
TOM;Thompson Falls;Pend Oreille;47.5950;-115.3600;THOMF
WAT;Waneta;Pend Oreille;49.0039;-117.6114;WANET
COE;Coeur D'Alene;Spokane;47.6661111111;-116.7705555556;CDALK
LLK;Long Lake;Spokane;47.8367;-117.8403;LLAKE
MON;Monroe Street;Spokane;47.6594;-117.4481;SPOKA
NIN;Nine Mile;Spokane;47.7760;-117.5450;
PFL;Post Falls;Spokane;47.7031;-116.9778;PFALL
ARD;Hugh Keenleyside (Arrow);Upper Columbia;49.3394;-117.7719;ARROW
MCD;Mica;Upper Columbia;52.0778;-118.5664;MICAA
MUC;Murphy Creek;Upper Columbia;49.1778;-117.7164;COLUMBIA RIVER AT BIRCHBANK
RVC;Revelstoke;Upper Columbia;51.0494;-118.1939;REVEL
LOS;Lost Creek;Western Oregon;42.6711;-122.6736;
ALD;Alder;Western Washington;46.8025;-122.3102777778;ALDER
CS2;Cushman 2;Western Washington;47.3967;-123.2022;
DIA;Diablo;Western Washington;48.7156;-121.1311;DIABL
GOR;Gorge;Western Washington;48.6980555556;-121.2069444444;GORGE
LAG;Lagrande;Western Washington;46.8228;-122.3039;LAGRA
MAY;Mayfield;Western Washington;46.5022;-122.6011;MAYFI
MER;Aerial (Merwin);Western Washington;45.9564;-122.5536;MERWI
MOS;Mossyrock;Western Washington;46.5353;-122.4236;MOSSY
PAK;Packwood Lake;Western Washington;46.6131;-121.6781;COWPA
ROS;Ross;Western Washington;48.7328;-121.0672;ROSSL
SHA;Lower Baker;Western Washington;48.5400;-121.7419;SHANN
SWF;Swift 1;Western Washington;46.0606;-122.1844;SWIFT
UBK;Upper Baker;Western Washington;48.6494;-121.6894;UPBAK
YAL;Yale;Western Washington;45.9639;-122.3314;YALEE
BLU;Blue River;Willamette;44.1625;-122.331944;
CGR;Cougar;Willamette;44.1333333333;-122.2333333333;MCKEN
COT;Cottage Grove;Willamette;43.7208;-123.0486;
DET;Detroit;Willamette;44.7500;-122.2833;SANNI
DEX;Dexter;Willamette;43.9347;-122.8333;WILDE
DOR;Dorena;Willamette;43.7847222222;-122.9847222222;ROCOT
FAL;Falls Creek;Willamette;43.9271;-122.8625;
FOS;Foster;Willamette;44.4013888889;-122.6847222222;SANFO
FRN;Fern Ridge;Willamette;44.1180555556;-123.2847222222;TOMAL
GPR;Green Peter;Willamette;44.4493;-122.5497;
HCR;Hills Creek;Willamette;43.7183;-122.4339;WILLS
LEA;Leaburg;Willamette;44.1250;-122.4694;
NFK;North Fork;Willamette;45.1672;-122.1550;NFORK
OAK;Oak Grove;Willamette;45.1250;-122.0722;
RML;River Mill;Willamette;45.3000;-122.3528;RMILL
SLM;Salem;Willamette;44.9333;-123.0333;WILSA
SMH;Smith R. Reservoir;Willamette;44.3056;-122.0444;
SVN;T.W. Sullivan;Willamette;45.3486;-122.6189;WILFA
TMY;Timothy Meadows;Willamette;45.0714;-121.9394;
TRB;Trail Bridge;Willamette;44.2681;-122.0486;
WAV;Walterville;Willamette;44.0700;-122.7700;
EUGO;WILLAMETTE RIVER AT EUGENE  (NWP);Willamette;44.05;-122.92;
BIGI;Boise River at Glenwood Bridge nr Boise, ID;Upper Snake;43.6601657;-116.2790102;
WFWI;Willow Cr at mouth nr Idaho Falls, ID;Upper Snake;43.5747222;-112.0480556;
AMFI;Snake River at Neeley American Falls Inflow;Upper Snake;42.7675;-112.8794444;AMERI
ANDI;SF Boise River at Anderson Ranch;Upper Snake;43.3436111;-115.4775;BOAND
ARKI;Boise River Arrowrock Inflow;Upper Snake;43.5941666667;-115.9222222222;BOARK
BDDI;Boise River blw Diversion Dam nr Boise, ID;Upper Snake;43.539613;-116.0945556;
BFKY;Buffalo Fork nr Moran, WY;Upper Snake;43.83805556;-110.4408333;
BLFI;Blackfoot River nr Blackfoot, ID;Upper Snake*;43.13055556;-112.4766667;BLKI
BFTI;Snake River nr Blackfoot, ID;Upper Snake;43.125278;-112.518889;
BOMI;Boise River nr Middleton, ID;Upper Snake*;43.6848841;-116.5737442;
GAINTWSP;Boise River nr Twin Springs, ID;Upper Snake;43.66805556;-115.7252778;BOTWI
